Twitter_ID;Group;Region;Description
jmilei;Президент Аргентины;Argentina
gabrielboric;Президент Чили;Chile
luchoxbolivia;Президент Боливии;Bolivia
lulaoficial;Президент Бразилии;Brazil
petrogustavo;Президент Колумбии;Colombia
diazcanelb;Президент Кубы;Cuba
danielnoboaok;Президент Эквадора;Ecuador
lopezobrador_;Президент Мексики;Mexico
presidenciani;Президент Никарагуа;Nicaragua
nitocortizo;Президент Панамы;Panama
santipenap;Президент Парагвая;Paraguay
presidenciaperu;Президент Перу;Peru
nicolasmaduro;Президент Венесуэлы;Venezuela
luisabinader;Президент Доминиканской Республики;Dominicana
nayibbukele;Президент Сальвадора;Salvador
claudiashein;Представитель мексиканской оппозиции;Mexico
xochitlgalvez;Представитель мексиканской оппозиции;Mexico
chinofloressv;Представитель сальвадорской оппозиции;Salvador
blandonjose;Представитель панамской оппозиции;Panama
joseantoniokast;Представитель чилийской оппозиции;Chile
mariacorinaya;Представитель венесуэльской оппозиции;Venezuelabarevaleon;Президент Гватемалы;Guatemala
brodheadjd;Старший советник премьер-министра;Canada
yfblanchet;Член Палаты общин Канады, лидер партии Квебекский блок;Canada
KamalKheraLib;Член Палаты общин Канады;Canada
terrybeech;Член Палаты общин Канады;Canada
KirstenHillmanA;Посол Канады в США;Canada
chrisschrimpf;Республиканская партия;USA
LTrover;Республиканская партия;USA
DougBurgum;Республиканская партия;USA
GovChristie;Республиканская партия;USA
LofstromLauren;Республиканская партия;USA
BryanDGriffin;Республиканская партия;USA
GenerraPeck;Республиканская партия;USA
jasonsjohnson;Республиканская партия;USA
ryan_tyson;Республиканская партия;USA
DustinCarmack;Республиканская партия;USA
JamesUthmeierFL;Республиканская партия;USA
RonDeSantis;Республиканская партия;USA
KLF;Республиканская партия;USA
nachamasol;Республиканская партия;USA
betsyankney;Республиканская партия;USA
NikkiHaley;Республиканская партия;USA
WillHurd;Республиканская партия;USA
AsaHutchinson;Республиканская партия;USA
PJQualityGuru;Республиканская партия;USA
marctshort;Республиканская партия;USA
devin_omalley;Республиканская партия;USA
chipsaltsman;Республиканская партия;USA
Mike_Pence;Республиканская партия;USA
TriciaOhio;Республиканская партия;USA
BenYoho;Республиканская партия;USA
VivekGRamaswamy;Республиканская партия;USA
d3casp3r;Республиканская партия;USA
votetimscott;Республиканская партия;USA
Stapleton_MT;Республиканская партия;USA
FrancisSuarez;Республиканская партия;USA
TheStevenCheung;Республиканская партия;USA
susie57;Республиканская партия;USA
JasonMillerinDC;Республиканская партия;USA
LaCivitaC;Республиканская партия;USA
briantjack;Республиканская партия;USA
realDonaldTrump;Республиканская партия;USA
CardonaLebron;Демократическая партия;USA
marwilliamson;Демократическая партия;USA
Dennis_Kucinich;Демократическая партия;USA
RobertKennedyJr;Демократическая партия;USA
michaelwtyler;Демократическая партия;USA
munozka315;Демократическая партия;USA
quentinfullks;Демократическая партия;USA
juliecr46;Демократическая партия;USA
JoeBiden;Демократическая партия;USA
SAISHopkins;Аналитический центр;USA
CarnegieEnbow;Аналитический центр;USA
AEI;Аналитический центр;USA
BrookingsInst;Аналитический центр;USA
CSIS;Аналитический центр;USA
TheWilsonCenter;Аналитический центр;USA
AtlanticCouncil;Аналитический центр;USA
GatestoneInst;Аналитический центр;USA
CSBAdc;Аналитический центр;USA
CNASdc;Аналитический центр;USA
AUinUA;Посольства;Australia
ausintheus;Посольства;Australia
AusEmbChina;Посольства;Australia
AusHouseLondon;Посольства;Australia
PosolAustralia;Посольства;Australia
MakeMayoMatter;Другие партии;Australia
RobKatter3;Другие партии;Australia
MehreenFaruqi;Другие партии;Australia
AdamBandt;Другие партии;Australia
PerinDavey;Либерально-национальная коалиция;Australia
D_LittleproudMP;Либерально-национальная коалиция;Australia
SenPaterson;Либерально-национальная коалиция;Australia
AngusTaylorMP;Либерально-национальная коалиция;Australia
KevinHoganMP;Либерально-национальная коалиция;Australia
Birmo;Либерально-национальная коалиция;Australia
JNampijinpa;Либерально-национальная коалиция;Australia
SenatorHume;Либерально-национальная коалиция;Australia
MarisePayne;Либерально-национальная коалиция;Australia
sussanley;Либерально-национальная коалиция;Australia
PeterDutton_MP;Либерально-национальная коалиция;Australia
ClareONeilMP;Лейбористкая партия;Australia
MadeleineMHKing;Лейбористкая партия;Australia
MarkDreyfusKCMP;Лейбористкая партия;Australia
LindaBurneyMP;Лейбористкая партия;Australia
CatherineKingMP;Лейбористкая партия;Australia
Bowenchris;Лейбористкая партия;Australia
Mark_Butler_MP;Лейбористкая партия;Australia
SenKatyG;Лейбористкая партия;Australia
JEChalmers;Лейбористкая партия;Australia
